date,temp,humidity,wind,cloud,rain,fog_observed,castle_visible,note,fog_probability,castle_probability,fog_score,castle_score,dew_point,dew_spread,event,updated_at,castle_event_probability
2019-01-07,1.375,73.5,6.575,82.5,0.025,0,0,,0.391,0.793,24.2,6.5,-2.84,4.22,,2025-11-06T11:41:32.929569+09:00,0.0398348356035205
2019-01-08,3.7,88.0,4.550000000000001,90.5,0.025,1,1,,0.925,0.959,53.2,52.8,1.9,1.8,Castle,2025-11-06T11:41:39.180806+09:00,0.974934963250396
2019-01-10,-4.875000000000001,79.75,10.025,37.5,0.0,0,0,,0.461,0.776,39.5,30.3,-7.83,2.96,,2025-11-06T11:40:23.735191+09:00,0.0167022556161732
2019-01-11,3.175,88.0,8.225000000000001,89.5,0.025,1,1,,0.848,0.939,53.3,53.3,1.38,1.8,Castle,2025-11-06T11:40:29.178121+09:00,0.9521587806678068
2019-01-18,0.825,63.75,11.7,77.0,0.0,0,0,,0.473,0.769,15.0,0.0,-5.27,6.09,,2025-11-06T11:39:13.645921+09:00,0.0313388940316643
2019-01-19,1.775,81.25,3.575,92.5,0.0,1,1,,0.533,0.898,44.8,35.8,-1.1,2.87,FogOnly,2025-11-06T11:39:19.929251+09:00,0.9557155256883486
2019-02-01,-1.375,80.25,12.025000000000002,89.5,0.175,0,0,,0.096,0.761,38.6,30.9,-4.34,2.96,,2025-11-06T11:36:26.330771+09:00,0.0188876356200601
2019-02-02,2.35,73.0,3.375,89.5,0.0,1,1,,0.954,0.891,29.1,10.3,-2.0,4.35,Castle,2025-11-06T11:36:32.566123+09:00,0.9724397094935616
2019-03-14,1.975,87.25,3.375,65.5,0.25,0,0,,0.14,0.565,57.2,57.2,0.08,1.9,,2025-11-06T11:32:57.649218+09:00,0.0310049722744064
2019-03-15,2.075,79.0,8.725,11.5,0.0,1,1,,0.928,0.385,35.9,8.7,-1.19,3.26,FogOnly,2025-11-06T11:33:02.834458+09:00,0.956679699611958
2019-03-17,1.5,55.25,9.25,77.25,0.25,0,0,,0.129,0.793,13.8,0.0,-6.51,8.01,,2025-11-06T11:32:01.812676+09:00,0.0266697206315108
2019-03-18,-1.6,71.25,7.025,0.25,0.0,1,1,,0.981,0.948,20.7,0.0,-6.13,4.53,Castle,2025-11-06T11:32:09.276534+09:00,0.9678505128711002
2019-09-30,21.2,91.75,1.5,100.0,0.0,0,0,,0.388,0.256,83.2,75.2,19.8,1.4,,2025-11-06T11:25:52.366007+09:00,0.0134549701863411
2019-10-01,20.1,90.25,3.0000000000000004,6.75,0.0,1,1,,0.892,0.117,65.2,45.3,18.45,1.65,FogOnly,2025-11-06T11:25:59.695264+09:00,0.7373151517622475
2019-10-16,9.05,91.0,3.15,22.75,0.0,0,0,,0.383,0.483,66.8,56.5,7.66,1.39,,2025-11-06T11:24:48.052843+09:00,0.063617906977323
2019-10-17,11.2,86.25,2.425,52.25,0.0,1,1,,0.468,0.372,64.2,62.5,8.99,2.21,,2025-11-06T11:24:53.190027+09:00,0.8669678587173254
2019-10-29,16.125,77.75,16.35,100.0,0.15,0,0,,0.131,0.505,27.6,4.5,12.24,3.89,,2025-11-06T11:23:19.508497+09:00,0.0114870755626141
2019-10-30,13.575,93.0,3.65,95.75,0.1,1,0,,0.685,0.367,64.7,60.1,12.46,1.11,FogOnly,2025-11-06T11:23:24.740753+09:00,0.0485712478113221
2019-11-22,5.025,93.5,4.95,47.75,0.0,0,0,,0.444,0.635,63.5,63.5,4.06,0.96,,2025-11-06T11:21:43.768046+09:00,0.0884433317760952
2019-11-23,8.375,88.75,4.175,0.0,0.0,1,1,,0.902,0.831,54.0,30.0,6.63,1.75,Castle,2025-11-06T11:21:48.674719+09:00,0.9333572073057744
